"MCQ260CH.Code.or.Value","MCQ260CH.Value.Description","MCQ260CH.Count","MCQ260CH.Cumulative","MCQ260CH.Skip.to.Item"
"8","Sister",258,258,"MCQ250E"
".","Missing",10212,10470,""
