"FSQ170.Code.or.Value","FSQ170.Value.Description","FSQ170.Count","FSQ170.Cumulative","FSQ170.Skip.to.Item"
"1","Yes",1844,1844,""
"2","No",8354,10198,""
"7","Refused",11,10209,"FSQ162"
"9","Don't know",16,10225,"FSQ162"
".","Missing",123,10348,""
