"RFXC117.Code.or.Value","RFXC117.Value.Description","RFXC117.Count","RFXC117.Cumulative","RFXC117.Skip.to.Item"
"-7.555 to 5.769","Range of Values",33684,33684,NA
".","Missing",37,33721,NA
