"DXXTSBMC.Code.or.Value","DXXTSBMC.Value.Description","DXXTSBMC.Count","DXXTSBMC.Cumulative","DXXTSBMC.Skip.to.Item"
"19.51 to 260.26","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
