"DXXL3BMD.Code.or.Value","DXXL3BMD.Value.Description","DXXL3BMD.Count","DXXL3BMD.Cumulative","DXXL3BMD.Skip.to.Item"
"0.396 to 1.867","Range of Values",6307,6307,NA
".","Missing",1427,7734,NA
