"DR1IS160.Code.or.Value","DR1IS160.Value.Description","DR1IS160.Count","DR1IS160.Cumulative","DR1IS160.Skip.to.Item"
"0 to 40.087","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
