"LBXGH.Code.or.Value","LBXGH.Value.Description","LBXGH.Count","LBXGH.Cumulative","LBXGH.Skip.to.Item"
"2.5 to 15.1","Range of Values",6343,6343,NA
".","Missing",415,6758,NA
