"LBXVME.Code.or.Value","LBXVME.Value.Description","LBXVME.Count","LBXVME.Cumulative","LBXVME.Skip.to.Item"
"0.99 to 59.7","Range of Values",2509,2509,NA
".","Missing",785,3294,NA
