"DR1TS060.Code.or.Value","DR1TS060.Value.Description","DR1TS060.Count","DR1TS060.Cumulative","DR1TS060.Skip.to.Item"
"0 to 5.634","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
