"URDBPFLC.Code.or.Value","URDBPFLC.Value.Description","URDBPFLC.Count","URDBPFLC.Cumulative","URDBPFLC.Skip.to.Item"
"0","At or above the detection limit",1733,1733,NA
"1","Below lower detection limit",949,2682,NA
".","Missing",95,2777,NA
