"URXMEP.Code.or.Value","URXMEP.Value.Description","URXMEP.Count","URXMEP.Cumulative","URXMEP.Skip.to.Item"
"0.42 to 26156.922","Range of Values",2782,2782,NA
".","Missing",119,2901,NA
