"SSIPPP.Code.or.Value","SSIPPP.Value.Description","SSIPPP.Count","SSIPPP.Cumulative","SSIPPP.Skip.to.Item"
"0.035 to 2.14","Range of Values",2416,2416,NA
".","Missing",14,2430,NA
