"WBXP089.Code.or.Value","WBXP089.Value.Description","WBXP089.Count","WBXP089.Cumulative","WBXP089.Skip.to.Item"
"-158.7211 to 167.7039","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
