"FSD660C.Code.or.Value","FSD660C.Value.Description","FSD660C.Count","FSD660C.Cumulative","FSD660C.Skip.to.Item"
"1","Yes",792,792,NA
"2","No",101,893,NA
"7","Refused",0,893,NA
"9","Don't know",2,895,NA
".","Missing",10144,11039,NA
