"DBD381.Code.or.Value","DBD381.Value.Description","DBD381.Count","DBD381.Cumulative","DBD381.Skip.to.Item"
"1 to 5","Range of Values",2052,2052,""
"0","None",364,2416,"DBQ400"
"7777","Refused",0,2416,"DBQ400"
"9999","Don't know",6,2422,"DBQ400"
".","Missing",7334,9756,""
