"URDP02LC.Code.or.Value","URDP02LC.Value.Description","URDP02LC.Count","URDP02LC.Cumulative","URDP02LC.Skip.to.Item"
"0","At or above the detection limit",2308,2308,NA
"1","below lower detection limit",0,2308,NA
".","Missing",154,2462,NA
