"DEQ038G.Code.or.Value","DEQ038G.Value.Description","DEQ038G.Count","DEQ038G.Cumulative","DEQ038G.Skip.to.Item"
"0","Never",0,0,NA
"1","Yes",1179,1179,NA
"2","No",1957,3136,NA
"7","Refused",0,3136,NA
"9","Don't know",2,3138,NA
".","Missing",2,3140,NA
