"BIXC582K.Code.or.Value","BIXC582K.Value.Description","BIXC582K.Count","BIXC582K.Cumulative","BIXC582K.Skip.to.Item"
"10.75 to 1618.05","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
