"DS1TCOPP.Code.or.Value","DS1TCOPP.Value.Description","DS1TCOPP.Count","DS1TCOPP.Cumulative","DS1TCOPP.Skip.to.Item"
"0.003 to 16","Range of Values",1075,1075,NA
".","Missing",8263,9338,NA
