"ORXH40.Code.or.Value","ORXH40.Value.Description","ORXH40.Count","ORXH40.Cumulative","ORXH40.Skip.to.Item"
"1","Positive",2,2,NA
"2","Negative",4408,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
