"BMXTHICR.Code.or.Value","BMXTHICR.Value.Description","BMXTHICR.Count","BMXTHICR.Cumulative","BMXTHICR.Skip.to.Item"
"29.2 to 100","Range of Values",7804,7804,NA
".","Missing",2673,10477,NA
