"OSQ040cg.Code.or.Value","OSQ040cg.Value.Description","OSQ040cg.Count","OSQ040cg.Cumulative","OSQ040cg.Skip.to.Item"
"1","Under 50 years old, or",1,1,"OSQ025"
"2","50 years old or older?",0,1,""
"7","Refused",0,1,"OSQ025"
"9","Don't know",0,1,"OSQ025"
".","Missing",4978,4979,""
