"DR2TP184.Code.or.Value","DR2TP184.Value.Description","DR2TP184.Count","DR2TP184.Cumulative","DR2TP184.Skip.to.Item"
"0 to 0.471","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
