"DR2TRET.Code.or.Value","DR2TRET.Value.Description","DR2TRET.Count","DR2TRET.Cumulative","DR2TRET.Skip.to.Item"
"0 to 19369","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
