"TYXP107.Code.or.Value","TYXP107.Value.Description","TYXP107.Count","TYXP107.Cumulative","TYXP107.Skip.to.Item"
"-286 to 130","Range of Values",5539,5539,NA
".","Missing",46,5585,NA
