"AUXU1K2L.Code.or.Value","AUXU1K2L.Value.Description","AUXU1K2L.Count","AUXU1K2L.Cumulative","AUXU1K2L.Skip.to.Item"
"-10 to 115","Range of Values",1881,1881,NA
"666","No response",0,1881,NA
"888","Could not obtain",0,1881,NA
".","Missing",165,2046,NA
