"LBXCPSI.Code.or.Value","LBXCPSI.Value.Description","LBXCPSI.Count","LBXCPSI.Cumulative","LBXCPSI.Skip.to.Item"
"0.021 to 6.828","Range of Values",3379,3379,NA
".","Missing",287,3666,NA
