"AUXRR237.Code.or.Value","AUXRR237.Value.Description","AUXRR237.Count","AUXRR237.Cumulative","AUXRR237.Skip.to.Item"
"-32 to 101","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
