"URXANTT.Code.or.Value","URXANTT.Value.Description","URXANTT.Count","URXANTT.Cumulative","URXANTT.Skip.to.Item"
"0.28 to 462","Range of Values",615,615,NA
".","Missing",2140,2755,NA
