"DID260.Code.or.Value","DID260.Value.Description","DID260.Count","DID260.Cumulative","DID260.Skip.to.Item"
"1 to 30","Range of Values",571,571,NA
"0","Never",131,702,NA
"777","Refused",0,702,NA
"999","Don't know",5,707,NA
".","Missing",8657,9364,NA
