"URX4FP.Code.or.Value","URX4FP.Value.Description","URX4FP.Count","URX4FP.Cumulative","URX4FP.Skip.to.Item"
"0.07 to 12.7","Range of Values",2747,2747,NA
".","Missing",84,2831,NA
