"RHQ710F.Code.or.Value","RHQ710F.Value.Description","RHQ710F.Count","RHQ710F.Cumulative","RHQ710F.Skip.to.Item"
"6","Feminine Cleansing Wipes/Towlettes",179,179,NA
"77","Refused",0,179,NA
"99","Don't know",0,179,NA
".","Missing",3385,3564,NA
