"AUQ190.Code.or.Value","AUQ190.Value.Description","AUQ190.Count","AUQ190.Cumulative","AUQ190.Skip.to.Item"
"1","Yes",1315,1315,""
"2","No",3714,5029,"AUQ210"
"7","Refused",0,5029,"AUQ210"
"9","Don't know",11,5040,"AUQ210"
".","Missing",4605,9645,""
