"DXXLLBMD.Code.or.Value","DXXLLBMD.Value.Description","DXXLLBMD.Count","DXXLLBMD.Cumulative","DXXLLBMD.Skip.to.Item"
"0.557 to 1.993","Range of Values",4019,4019,NA
".","Missing",1095,5114,NA
