"PHQ050.Code.or.Value","PHQ050.Value.Description","PHQ050.Count","PHQ050.Cumulative","PHQ050.Skip.to.Item"
"1","Yes",10,10,NA
"2","No",8893,8903,NA
".","Missing",537,9440,NA
