"DR1TSUGR.Code.or.Value","DR1TSUGR.Value.Description","DR1TSUGR.Count","DR1TSUGR.Cumulative","DR1TSUGR.Skip.to.Item"
"0 to 944.23","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
