"MCQ240B.Code.or.Value","MCQ240B.Value.Description","MCQ240B.Count","MCQ240B.Cumulative","MCQ240B.Skip.to.Item"
"62","62",1,1,NA
"80","80 years or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",9665,9666,NA
