"URDPHGLC.Code.or.Value","URDPHGLC.Value.Description","URDPHGLC.Count","URDPHGLC.Cumulative","URDPHGLC.Skip.to.Item"
"0","At or above the detection limit",2341,2341,NA
"1","Below lower detection limit",12,2353,NA
".","Missing",109,2462,NA
