"LBDF02LC.Code.or.Value","LBDF02LC.Value.Description","LBDF02LC.Count","LBDF02LC.Cumulative","LBDF02LC.Skip.to.Item"
"0","detectable result",7,7,NA
"1","below detectable limit",1915,1922,NA
".","Missing",352,2274,NA
