"ENAATMPT.Code.or.Value","ENAATMPT.Value.Description","ENAATMPT.Count","ENAATMPT.Cumulative","ENAATMPT.Skip.to.Item"
"1 to 10","Range of Values",6939,6939,NA
".","Missing",556,7495,NA
