"LBXSPH.Code.or.Value","LBXSPH.Value.Description","LBXSPH.Count","LBXSPH.Cumulative","LBXSPH.Skip.to.Item"
"1.7 to 8.1","Range of Values",6856,6856,NA
".","Missing",513,7369,NA
