"ECQ110.Code.or.Value","ECQ110.Value.Description","ECQ110.Count","ECQ110.Cumulative","ECQ110.Skip.to.Item"
"1","Yes",438,438,NA
"2","No",215,653,NA
"7","Refused",0,653,NA
"9","Don't know",0,653,NA
".","Missing",3256,3909,NA
