"WHD110.Code.or.Value","WHD110.Value.Description","WHD110.Count","WHD110.Cumulative","WHD110.Skip.to.Item"
"74 to 400","Range of Values",3734,3734,NA
"7777","Refused",9,3743,NA
"9999","Don't know",102,3845,NA
".","Missing",2789,6634,NA
