"WBXA101.Code.or.Value","WBXA101.Value.Description","WBXA101.Count","WBXA101.Cumulative","WBXA101.Skip.to.Item"
"-20.628 to 0.9982","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
