"DXDTOLI.Code.or.Value","DXDTOLI.Value.Description","DXDTOLI.Count","DXDTOLI.Cumulative","DXDTOLI.Skip.to.Item"
"12177.6 to 111462.9","Range of Values",4598,4598,NA
".","Missing",1182,5780,NA
