"LBD206LC.Code.or.Value","LBD206LC.Value.Description","LBD206LC.Count","LBD206LC.Cumulative","LBD206LC.Skip.to.Item"
"0","At or above the detection limit",264,264,NA
"1","Below lower detection limit",16,280,NA
".","Missing",4,284,NA
