"DS2DS.Code.or.Value","DS2DS.Value.Description","DS2DS.Count","DS2DS.Cumulative","DS2DS.Skip.to.Item"
"1","Yes",2495,2495,NA
"2","No",4517,7012,NA
"7","Refused",0,7012,NA
"9","Don't know",0,7012,NA
".","Missing",2532,9544,NA
