"LBC146LA.Code.or.Value","LBC146LA.Value.Description","LBC146LA.Count","LBC146LA.Cumulative","LBC146LA.Skip.to.Item"
"0.1344 to 25.79","Range of Values",251,251,NA
".","Missing",0,251,NA
