"RHQ541A.Code.or.Value","RHQ541A.Value.Description","RHQ541A.Count","RHQ541A.Cumulative","RHQ541A.Skip.to.Item"
"10","Pills",522,522,NA
"77","Refused",0,522,NA
"99","Don't know",0,522,NA
".","Missing",3042,3564,NA
