"SXD630.Code.or.Value","SXD630.Value.Description","SXD630.Count","SXD630.Cumulative","SXD630.Skip.to.Item"
"0 to 15341","Range of Values",975,975,NA
"77777","Refused",4,979,NA
"99999","Don't know",6,985,NA
".","Missing",3858,4843,NA
