"LBDSPH.Code.or.Value","LBDSPH.Value.Description","LBDSPH.Count","LBDSPH.Cumulative","LBDSPH.Skip.to.Item"
"1.8 to 7.4","Range of Values",6891,6891,NA
".","Missing",554,7445,NA
