"URXMBP.Code.or.Value","URXMBP.Value.Description","URXMBP.Count","URXMBP.Cumulative","URXMBP.Skip.to.Item"
"0.6 to 1192.9","Range of Values",2541,2541,NA
".","Missing",107,2648,NA
