"OPDUNVO.Code.or.Value","OPDUNVO.Value.Description","OPDUNVO.Count","OPDUNVO.Cumulative","OPDUNVO.Skip.to.Item"
"0","None",2466,2466,NA
"1","Questionable",2,2468,NA
"2","< 10A",4,2472,NA
"3",">= 10A",0,2472,NA
".","Missing",462,2934,NA
