"AGQ140.Code.or.Value","AGQ140.Value.Description","AGQ140.Count","AGQ140.Cumulative","AGQ140.Skip.to.Item"
"1","Yes",710,710,""
"2","No",167,877,"AGQ160"
"7","Refused",0,877,"AGQ160"
"9","Don't know",0,877,"AGQ160"
".","Missing",8945,9822,""
