"RFXT031.Code.or.Value","RFXT031.Value.Description","RFXT031.Count","RFXT031.Cumulative","RFXT031.Skip.to.Item"
"256 to 265","Range of Values",51067,51067,NA
".","Missing",9,51076,NA
