"DUQ240.Code.or.Value","DUQ240.Value.Description","DUQ240.Count","DUQ240.Cumulative","DUQ240.Skip.to.Item"
"1","Yes",603,603,""
"2","No",2314,2917,"DUQ370"
"7","Refused",7,2924,"DUQ370"
"9","Don't know",8,2932,"DUQ370"
".","Missing",353,3285,""
