"DR2DAY.Code.or.Value","DR2DAY.Value.Description","DR2DAY.Count","DR2DAY.Cumulative","DR2DAY.Skip.to.Item"
"1","Sunday",23195,23195,NA
"2","Monday",28001,51196,NA
"3","Tuesday",22975,74171,NA
"4","Wednesday",24422,98593,NA
"5","Thursday",7795,106388,NA
"6","Friday",9213,115601,NA
"7","Saturday",5270,120871,NA
".","Missing",0,120871,NA
