"ENXMEAN.Code.or.Value","ENXMEAN.Value.Description","ENXMEAN.Count","ENXMEAN.Cumulative","ENXMEAN.Skip.to.Item"
"3.5 to 217.5","Range of Values",6188,6188,NA
".","Missing",1555,7743,NA
