"LBXB12.Code.or.Value","LBXB12.Value.Description","LBXB12.Count","LBXB12.Cumulative","LBXB12.Skip.to.Item"
"54 to 10700","Range of Values",4877,4877,NA
".","Missing",442,5319,NA
