"WBXP065.Code.or.Value","WBXP065.Value.Description","WBXP065.Count","WBXP065.Cumulative","WBXP065.Skip.to.Item"
"-92.3197 to 153.2336","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
