"DR2IGRMS.Code.or.Value","DR2IGRMS.Value.Description","DR2IGRMS.Count","DR2IGRMS.Cumulative","DR2IGRMS.Skip.to.Item"
"0.01 to 9840","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
