"WHQ210.Code.or.Value","WHQ210.Value.Description","WHQ210.Count","WHQ210.Cumulative","WHQ210.Skip.to.Item"
"1","Yes",1093,1093,""
"2","No",2825,3918,"WHQ105"
"7","Refused",1,3919,"WHQ105"
"9","Don't know",2,3921,"WHQ105"
".","Missing",2625,6546,""
