"LBXBAP.Code.or.Value","LBXBAP.Value.Description","LBXBAP.Count","LBXBAP.Cumulative","LBXBAP.Skip.to.Item"
"2 to 325.5","Range of Values",6365,6365,NA
".","Missing",1979,8344,NA
