"TYXP253.Code.or.Value","TYXP253.Value.Description","TYXP253.Count","TYXP253.Cumulative","TYXP253.Skip.to.Item"
"-297 to -25","Range of Values",138,138,NA
".","Missing",8331,8469,NA
